Time,key,value
2023-10-02T06:56Z,Myriam Bregman,7
2023-10-02T06:56Z,Juan Schiaretti,5
2023-10-02T07:04Z,Javier Milei,11
2023-10-02T07:04Z,Sergio Massa,3
2023-10-02T07:04Z,Patricia Bullrich,2
2023-10-02T07:04Z,Myriam Bregman,3
2023-10-02T07:04Z,Juan Schiaretti,3
2023-10-02T07:12Z,Javier Milei,9
2023-10-02T07:12Z,Sergio Massa,3
2023-10-02T07:12Z,Patricia Bullrich,2
2023-10-02T07:12Z,Myriam Bregman,3
2023-10-02T07:12Z,Juan Schiaretti,2
2023-10-02T07:20Z,Javier Milei,7
2023-10-02T07:20Z,Sergio Massa,4
2023-10-02T07:20Z,Patricia Bullrich,2
2023-10-02T07:20Z,Myriam Bregman,6
2023-10-02T07:20Z,Juan Schiaretti,7
2023-10-02T07:28Z,Javier Milei,7
2023-10-02T07:28Z,Sergio Massa,9
2023-10-02T07:28Z,Patricia Bullrich,1
2023-10-02T07:28Z,Myriam Bregman,3
2023-10-02T07:28Z,Juan Schiaretti,5
2023-10-02T07:36Z,Javier Milei,10
2023-10-02T07:36Z,Sergio Massa,4
2023-10-02T07:36Z,Patricia Bullrich,0
2023-10-02T07:36Z,Myriam Bregman,5
2023-10-02T07:36Z,Juan Schiaretti,4
2023-10-02T07:44Z,Javier Milei,12
2023-10-02T07:44Z,Sergio Massa,2
2023-10-02T07:44Z,Patricia Bullrich,3
2023-10-02T07:44Z,Myriam Bregman,2
2023-10-02T07:44Z,Juan Schiaretti,2
2023-10-02T07:52Z,Javier Milei,8
2023-10-02T07:52Z,Sergio Massa,3
2023-10-02T07:52Z,Patricia Bullrich,3
2023-10-02T07:52Z,Myriam Bregman,2
2023-10-02T07:52Z,Juan Schiaretti,5
2023-10-02T08:00Z,Javier Milei,8
2023-10-02T08:00Z,Sergio Massa,4
2023-10-02T08:00Z,Patricia Bullrich,3
2023-10-02T08:00Z,Myriam Bregman,7
2023-10-02T08:00Z,Juan Schiaretti,2
2023-10-02T08:08Z,Javier Milei,9
2023-10-02T08:08Z,Sergio Massa,6
2023-10-02T08:08Z,Patricia Bullrich,2
2023-10-02T08:08Z,Myriam Bregman,4
2023-10-02T08:08Z,Juan Schiaretti,2
2023-10-02T08:16Z,Javier Milei,10
2023-10-02T08:16Z,Sergio Massa,2
2023-10-02T08:16Z,Patricia Bullrich,2
2023-10-02T08:16Z,Myriam Bregman,4
2023-10-02T08:16Z,Juan Schiaretti,5
2023-10-02T08:24Z,Javier Milei,6
2023-10-02T08:24Z,Sergio Massa,4
2023-10-02T08:24Z,Patricia Bullrich,3
2023-10-02T08:24Z,Myriam Bregman,2
2023-10-02T08:24Z,Juan Schiaretti,6
2023-10-02T08:32Z,Javier Milei,9
2023-10-02T08:32Z,Sergio Massa,5
2023-10-02T08:32Z,Patricia Bullrich,1
2023-10-02T08:32Z,Myriam Bregman,2
2023-10-02T08:32Z,Juan Schiaretti,2
2023-10-02T08:40Z,Javier Milei,8
2023-10-02T08:40Z,Sergio Massa,2
2023-10-02T08:40Z,Patricia Bullrich,2
2023-10-02T08:40Z,Myriam Bregman,5
2023-10-02T08:40Z,Juan Schiaretti,5
2023-10-02T08:48Z,Javier Milei,10
2023-10-02T08:48Z,Sergio Massa,2
2023-10-02T08:48Z,Patricia Bullrich,2
2023-10-02T08:48Z,Myriam Bregman,5
2023-10-02T08:48Z,Juan Schiaretti,3
2023-10-02T08:56Z,Javier Milei,7
2023-10-02T08:56Z,Sergio Massa,2
2023-10-02T08:56Z,Patricia Bullrich,2
2023-10-02T08:56Z,Myriam Bregman,3
2023-10-02T08:56Z,Juan Schiaretti,2
2023-10-02T09:04Z,Javier Milei,6
2023-10-02T09:04Z,Sergio Massa,3
2023-10-02T09:04Z,Patricia Bullrich,1
2023-10-02T09:04Z,Myriam Bregman,1
2023-10-02T09:04Z,Juan Schiaretti,3
2023-10-02T09:12Z,Javier Milei,7
2023-10-02T09:12Z,Sergio Massa,3
2023-10-02T09:12Z,Patricia Bullrich,2
2023-10-02T09:12Z,Myriam Bregman,3
2023-10-02T09:12Z,Juan Schiaretti,3
2023-10-02T09:20Z,Javier Milei,8
2023-10-02T09:20Z,Sergio Massa,2
2023-10-02T09:20Z,Patricia Bullrich,2
2023-10-02T09:20Z,Myriam Bregman,5
2023-10-02T09:20Z,Juan Schiaretti,4
2023-10-02T09:28Z,Javier Milei,7
2023-10-02T09:28Z,Sergio Massa,4
2023-10-02T09:28Z,Patricia Bullrich,1
2023-10-02T09:28Z,Myriam Bregman,4
2023-10-02T09:28Z,Juan Schiaretti,3
2023-10-02T09:36Z,Javier Milei,8
2023-10-02T09:36Z,Sergio Massa,2
2023-10-02T09:36Z,Patricia Bullrich,1
2023-10-02T09:36Z,Myriam Bregman,2
2023-10-02T09:36Z,Juan Schiaretti,4
2023-10-02T09:44Z,Javier Milei,8
2023-10-02T09:44Z,Sergio Massa,2
2023-10-02T09:44Z,Patricia Bullrich,2
2023-10-02T09:44Z,Myriam Bregman,3
2023-10-02T09:44Z,Juan Schiaretti,4
2023-10-02T09:52Z,Javier Milei,10
2023-10-02T09:52Z,Sergio Massa,3
2023-10-02T09:52Z,Patricia Bullrich,2
2023-10-02T09:52Z,Myriam Bregman,5
2023-10-02T09:52Z,Juan Schiaretti,3
